Date,Batch Name,RWA Exps Typ,GFCID,Netting Set ID,Netting Agreement ID,Netting Flag,Sft Transaction Type,Bal Typ Cd,Source system ID,Source Txns ID,Portfolio Type,IMS Account Number,Account Mnemonic,Gfmis Code,Sub Product,Dsft Base Mpor,Dsft Issue Mpor,Dsft Issuer Mpor,Dsft Base Conc,Security ID Type,Security ID,Security Description,Security Rating,Stale prc flg 2days,Illiquid Collateral Flag,Illiquid Flag,Large Netting Set Flag,Margin Dispute Flag,Is Portfolio Concentrated,Extended MPOR indicator,Extended MPOR Reason,Concentration flag derived,LRM Flag,SWWR Flag,SWWR Description,Agency Lending Indicator,Basel Calculation Methodology Code,Haircut,Haircut Eligible Status,Haircut Eligible Reason Cd,Basel Calculatio Methodology Code Description,Settlement Date,Maturity Date,ISO Currency,ISO CCY,Prin CCY,ISO Currency Derived,Largest Net CCY,Agr Settlement Ccy code,Buy or Sell Indicator,Std DSFT Final MPOR,NS MPOR,Scen A MPOR,NS MPOR  - Scen B,Scen B MPOR,Period of Risk Days,Remargining Frequency,Scenario,STD EAD Scenario Used,Check Scenario,Dsft Cmtrcvrfac Scen1,Dsft Rcvr Fac Scen2,Exposure Currency,Collateral Currency,Security Quantity,Principal,Market Value,Dsft Over Mpor Scen1,Dsft Over Mpor Scen2,Counterparty GFCID,GFCID Name
6/29/2025,USCON,12,100000001,3,3,Y,MARGIN_LOAN,15,163186,Txn 17,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 17,Security 17,Unrated,N,N,N,N,N,N,N,,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,,,,,USD,USD,B,20,10,10,10,10,20,1,NA,SCENARIO2,TRUE,1,1,,,1351,,8924661.73,10,20,100000003,Ctpy 3
6/29/2025,USCON,12,100000001,3,3,Y,MARGIN_LOAN,1,163186,Txn 18,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 18,Security 18,Unrated,N,N,N,N,N,N,N,,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,S,20,10,10,10,10,20,1,NA,SCENARIO2,TRUE,0,0,USD,,1233,,932727.68,10,20,100000003,Ctpy 3
6/29/2025,USCON,12,100000001,4,4,Y,SFT,1,163186,Txn 19,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 19,Security 19,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,18000,,842383.04,5,20,100000004,Ctpy 4
6/29/2025,USCON,12,100000001,4,4,Y,SFT,1,163186,Txn 20,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 20,Security 20,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,8000,,6693482.66,5,20,100000004,Ctpy 4
6/29/2025,USCON,12,100000001,4,4,Y,SFT,1,163186,Txn 21,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 21,Security 21,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,                            ,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,1000,,2316444.55,5,20,100000004,Ctpy 4
6/29/2025,USCON,12,100000001,4,4,Y,SFT,15,163186,Txn 22,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 22,Security 22,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,20000,,1584495.36,5,20,100000004,Ctpy 4
6/29/2025,USCON,12,100000001,4,4,Y,SFT,1,163186,Txn 23,Netting Set,1,2,1,2,5,0,40,NOT_CONCENTRATED,CUSP,Security 23,Security 23,Unrated,N,Y,Y,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,0,1,USD,USD,20000,,127622.97,5,20,100000004,Ctpy 4
6/29/2025,USCON,12,100000005,5,5,Y,SFT,1,163186,Txn 24,Netting Set,1,2,1,2,40,20,40,SEVERE_CONCENTRATION,CUSP,Security 24,Security 24,Unrated,N,N,Y,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Ineligible,EligVC:Ineligible-Debt-NIG-ER>3,B3,10/16/2030,10/16/2030,USD,USD,,USD,USD,USD,B,40,20,20,5,5,40,1,SCENARIO,SCENARIO2,TRUE,0,1,,USD,243134,1807645.81,2093791.94,5,40,100000005,Ctpy 5
6/29/2025,USCON,12,100000005,5,5,Y,SFT,1,163186,Txn 25,Netting Set,1,2,1,2,40,20,40,SEVERE_CONCENTRATION,CUSP,Security 25,Security 25,Unrated,N,N,Y,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,EligVC:Ineligible-Debt-NIG-ER>3,B3,1/16/2031,1/16/2031,USD,USD,USD,USD,USD,USD,B,40,20,20,5,5,40,1,SCENARIO,SCENARIO2,TRUE,0,1,USD,USD,18000,19151760.59,17000000,5,40,100000005,Ctpy 5
6/29/2025,USCON,12,100000005,5,5,Y,SFT,1,163186,Txn 26,Netting Set,1,2,1,2,20,20,20,HIGH_CONCENTRATION,CUSP,Security 26,Security 26,Unrated,N,N,Y,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0.24,Elligible,"Elligible-Debt-IG-ER[1,2,3]-No IR",B3,10/16/1930,10/16/1930,USD,USD,USD,USD,USD,USD,B,20,20,20,5,5,20,1,SCENARIO,SCENARIO2,TRUE,0,1,USD,USD,7000,31485709.75,29468459.19,5,20,100000005,Ctpy 5
6/29/2025,USCON,12,100000005,5,5,Y,SFT,1,163186,Txn 27,Netting Set,1,2,1,2,20,5,20,HIGH_CONCENTRATION,CUSP,Security 27,Security 27,Unrated,N,N,N,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0.24,Elligible,"Elligible-Debt-IG-ER[1,2,3]-No IR",B3,4/16/2030,4/16/2030,USD,USD,USD,USD,USD,USD,S,20,20,20,5,5,20,1,SCENARIO,SCENARIO2,TRUE,1,1,USD,USD,20000,1,20885570.18,5,20,100000005,Ctpy 5
6/29/2025,USCON,12,100000005,5,5,Y,SFT,1,163186,Txn 28,Netting Set,1,2,1,2,20,20,20,HIGH_CONCENTRATION,CUSP,Security 28,Security 28,Unrated,N,N,N,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0.24,Ineligible,"Elligible-Debt-IG-ER[1,2,3]-No IR",B3,4/16/2030,4/16/2030,USD,USD,USD,USD,USD,USD,S,20,20,20,5,5,20,1,SCENARIO,SCENARIO2,TRUE,1,1,USD,USD,12341,1,2001800,5,20,100000005,Ctpy 5
6/29/2025,USCON,12,100000001,6,6,Y,SFT,1,163186,Txn 29,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 29,Security 29,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,0,770909,5,20,100000006,Ctpy 6
6/29/2025,USCON,12,100000001,6,6,Y,SFT,15,163186,Txn 30,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 30,Security 30,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,0,4082837,5,20,100000006,Ctpy 6
6/29/2025,USCON,12,100000001,6,6,Y,SFT,1,163186,Txn 31,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 31,Security 31,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,0,1777799,5,20,100000006,Ctpy 6
6/29/2025,USCON,12,100000001,7,7,Y,SFT,1,163186,Txn 32,Netting Set,1,2,1,2,40,20,40,SEVERE_CONCENTRATION,CUSP,Security 32,Security 32,Unrated,N,N,Y,N,N,Y,N,Concentrated,FALSE,N,N,No SWWR,,1,0.25,Elligible,EligVC:Ineligible-Debt-NIG-No ER/IR,B3,4/27/2026,4/27/2026,USD,USD,USD,USD,USD,USD,B,40,20,20,5,5,40,1,SCENARIO,SCENARIO2,TRUE,0,1,USD,USD,231442,128352840,176393615,5,40,100000007,Ctpy 7
6/29/2025,USCON,12,100000001,7,7,Y,SFT,1,163186,Txn 33,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,CASH REPO MARGIN,CASH REPO MARGIN,Unrated,N,N,N,N,N,Y,N,Concentrated,FALSE,Y,N,No SWWR,,1,0,Elligible,Eligible-Cash,B3,1/1/1900,,USD,USD,USD,USD,USD,USD,S,20,20,20,5,5,20,1,SCENARIO,SCENARIO2,TRUE,1,1,USD,USD,0,1810670,0,5,20,100000007,Ctpy 7
6/29/2025,USCON,12,100000001,8,8,Y,SFT,1,163186,Txn 34,Netting Set,1,2,1,2,0,0,0,,CUSP,Security 34,Security 34,Unrated,Y,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,0,0,USD,USD,20000,14584290,,0,0,100000008,Ctpy 8
6/29/2025,USCON,12,100000001,8,8,Y,SFT,1,163186,Txn 35,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 35,Security 35,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,12341,,11419335.6,5,20,100000008,Ctpy 8
6/29/2025,USCON,12,100000001,8,8,Y,SFT,1,163186,Txn 36,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 36,Security 36,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,7/1/2025,7/1/2025,USD,USD,USD,USD,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,,14013969,5,20,100000008,Ctpy 8
6/29/2025,USCON,12,100000001,8,8,Y,SFT,1,163186,Txn 37,Netting Set,1,2,1,2,5,0,20,NOT_CONCENTRATED,CUSP,Security 37,Security 37,Unrated,N,Y,Y,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,0,1,USD,USD,10000,,4680507,5,20,100000008,Ctpy 8
6/29/2025,USCON,12,100000001,9,9,Y,SFT,1,163186,Txn 38,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 38,Security 38,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,0,8329834,5,20,100000009,Ctpy 9
6/29/2025,USCON,12,100000001,9,9,Y,SFT,15,163186,Txn 39,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 39,Security 39,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,10000,0,5078329,5,20,100000009,Ctpy 9
6/29/2025,USCON,12,100000001,9,9,Y,SFT,1,163186,Txn 40,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 40,Security 40,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,,,,,,,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,,,10000,0,28000000,5,20,100000009,Ctpy 9
6/29/2025,USCON,12,100000001,10,10,Y,SFT,1,163186,Txn 41,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 41,Security 41,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,USD,USD,USD,S,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,8000,,8799782,5,20,100000010,Ctpy 10
6/29/2025,USCON,12,100000001,10,10,Y,SFT,1,163186,Txn 42,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 42,Security 42,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,                            ,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,USD,1000,,1316465,5,20,100000010,Ctpy 10
6/29/2025,USCON,12,100000001,10,10,Y,SFT,15,163186,Txn 43,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 43,Security 43,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,20000,,1584420,5,20,100000010,Ctpy 10
6/29/2025,USCON,12,100000001,10,10,Y,SFT,1,163186,Txn 44,Netting Set,1,2,1,2,5,0,40,NOT_CONCENTRATED,CUSP,Security 44,Security 44,Unrated,N,Y,Y,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,7/3/2025,7/3/2025,USD,USD,USD,USD,USD,USD,B,5,20,20,5,5,5,1,SCENARIO,SCENARIO1,TRUE,0,1,USD,USD,20000,,19029,5,20,100000010,Ctpy 10
